name,rating,genre,release_date,actor,overview
Undine,65.13,"Fantasy, Drama, Romance",2020,Paula Beer,"
Undine is a historian and tour guide at the Berlin City Museum specializing in urban development, while Christoph is an industrial diver. Linked by a love of the water, the two form an intense bond, which can only do so much to help Undine overcome the considerable baggage of her former affair.
"
Out of Africa,72.0,"History, Romance, Drama",1985,Robert Redford,"
Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.
"
Crossroads,72.72999999999999,"Drama, Music, Mystery, Romance",1986,Ralph Macchio,"
A wanna-be blues guitar virtuoso seeks a long-lost song by legendary musician, Robert Johnson.
"
Dhruva Natchathiram: Chapter One – Yuddha Kaandam,0.0,"Crime, Thriller, Action",2023,Vikram,"
John, a New York City-based undercover operative and his team, are entrusted with a secret mission to bring back their team leader, who has been missing mysteriously.
"
The Women of Quiet Country,45.0,Drama,1980,Silvia Dionisio,"
Italy, late thirties. The regime of Mussolini in the Prime of their Italian volunteers are sent to the civil war in Spain. On the background of a peaceful village landscapes, behind the walls of the old farmhouses Florianna (Carmen Scarpitta - La Orca) creating its own dictatorship: everything runs her brother Guido, requires unquestioning obedience to his will.  He believes all women around their property, and, as a rooster in the hen house, must constantly confirm this action. Its problem - the young son Alberto, all is not similar to the father, who dreams of breaking free from the dictatorial care. When the estate is coming with his beautiful cousin Gloria, between young people flashes novel. Guido learns that my sister is going to bequeath his estate «unworthy» to his son. All the heralds tragic ending
"
Of Love and Shadows,51.760000000000005,Drama,1994,Jennifer Connelly,"
Irene is a magazine editor living under the shadow of the Pinochet dictatorship in Chile. Francisco is a handsome photographer and he comes to Irene for a job. As a sympathizer with the underground resistance movement, Francisco opens her eyes and her heart to the atrocities being committed by the state.
"
Hannah and Her Sisters,74.98,"Comedy, Drama",1986,Woody Allen,"
Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.
"
Godzilla 1985,66.0,"Action, Science Fiction, Thriller, Horror",1985,Raymond Burr,"
Originally released in Japan as ""The Return of Godzilla""  in 1984, this is the heavily re-edited, re-titled ""Godzilla 1985"".  Adding in new footage of Raymond Burr, this 16th Godzilla film ignores all previous sequels and serves as a direct follow-up to the 1956 ""Godzilla King of the Monsters"", which also featured scenes with Burr edited into 1954's ""Godzilla"". This film restores the darker tone of the original, as we witness the nuclear destruction of giant lizard terrorizing Japan.
"
Death at a Funeral,68.85,"Comedy, Drama",2007,Matthew Macfadyen,"
A myriad of outrageous calamities befalls an eccentric English clan with more than a few skeletons in its closets when the family's patriarch dies an unexpected death.
"
Saints and Soldiers: The Void,52.17,War,2014,Adam Gregory,"
Germany, May 1945, deep in the Harz Mountains a U.S. tank crew discovers a platoon of Germans preparing to ambush U.S. supply trucks.
"
Miss Violence,70.7,Drama,2013,Themis Panou,"
On the day of her birthday, eleven-year-old Angeliki jumps off the balcony and falls to her death with a smile on her face. While the police and Social Services try to discover the reason for this apparent suicide, Angeliki's family keep insisting that it was an accident. What is the secret that young Angeliki took with her? Why does her family persist in trying to ""forget"" her and to move on with its life?
"
The Double,58.0,"Action, Drama, Crime",2011,Richard Gere,"
The mysterious murder of a US senator bearing the distinctive trademark of the legendary Soviet assassin 'Cassius', forces retired CIA operative, Paul Shepherson to team with rookie FBI agent, Ben Geary  to solve the crime. Having spent his career chasing Cassius, Shepherdson is convinced his nemesis is long dead, but is pushed to take on the case by his former supervisor, Tom Highland. Geary, who wrote his Master's thesis on Shepherdson's pursuit of the Soviet killer, is certain that Cassius has resurfaced.
"
Doctor Who: A Christmas Carol,80.0,Science Fiction,2010,Matt Smith,"
Amy Pond and Rory Williams are trapped on a crashing space liner, and the only way the Eleventh Doctor can rescue them is to save the soul of a lonely old miser. But is Kazran Sardick, the richest man in Sardicktown, beyond redemption? And what is lurking in the fogs of Christmas Eve?
"
Nights of Cabiria,79.97,Drama,1957,Giulietta Masina,"
Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.
"
Stop! Or My Mom Will Shoot,53.040000000000006,"Action, Comedy",1992,Sylvester Stallone,"
A tough police sergeant's mother comes to visit him, and promptly starts trying to fix up his life, much to his embarrassment. For his birthday she buys him a machine gun out of the back of a van, and begins to further interfere with his job and love life, eventually helping him with a case he's on.
"
Clouds,83.0,"Music, Drama, Romance",2020,Fin Argus,"
Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.
"
News of the World,69.79,"Drama, Western, Adventure",2020,Tom Hanks,"
A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.
"
Spontaneous,69.07,"Comedy, Horror",2020,Katherine Langford,"
When students in their high school begin inexplicably exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.
"
Wing Commander,47.6,"Science Fiction, Action, Adventure",1999,Freddie Prinze Jr.,"
The Hollywood version of the popular video game series ""Wing Commander"". Unlike other video games to feature film transitions, series creator Chris Roberts was heavily involved in the film's creation. This is the story of Christopher Blair and Todd ""Maniac"" Marshall as they arrive at the Tiger Claw and are soon forced to stop a Kilrathi fleet heading towards Earth.
"
The Birth of a Nation,60.34,"Drama, History, War",1915,Henry B. Walthall,"
Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch.
"
Aniara,60.56,"Science Fiction, Drama",2019,Emelie Jonsson,"
A ship carrying settlers to a new home on Mars after Earth is rendered uninhabitable is knocked off-course, causing the passengers to consider their place in the universe.
"
The Vampire Lovers,64.0,Horror,1970,Ingrid Pitt,"
In the heart of Styria the Karnstein Family, even after their mortal deaths, rise from their tombs spreading evil in the countryside in their lust for fresh blood. Baron Hartog whose family are all victims of Karnstein vampirism, opens their graves and drives a stake through their diabolical hearts. One grave he cannot locate is that of the legendary beautiful Mircalla Karnstein. Years of peace follow that grisly night until Mircalla reappears to avenge her family's decimation and satisfy her desire for blood.
"
Silver Skates,77.0,"Romance, Adventure, Drama, Family, History",2020,Fedor Fedotov,"
1899, the Christmas-time St.Petersburg. Ice-covered rivers and canals of the capital seethe with festive activities. On the eve of the new century those who should not be destined to meet, come together. They are people from different worlds: Matvey, the son of a lamplighter, whose only treasure is his silver-plated skates; Alice is the daughter of a high-ranking official dreaming of science. Each of them has his own difficult life-story, but having accidentally met they rush forward together in pursuit of their dreams.
"
The Asadas!,73.0,"Drama, Comedy",2020,Kazunari Ninomiya,"
Masashi is a photographer. He has his parents and an older brother Yukihiro. Through the 2011 Tohoku earthquake and tsunami, Masashi begins to take staged photos of his family.
"
Suburbicon,58.75,"Thriller, Crime, Drama, Mystery",2017,Matt Damon,"
In the quiet family town of Suburbicon during the 1950s, the best and worst of humanity is hilariously reflected through the deeds of seemingly ordinary people. When a home invasion turns deadly, a picture-perfect family turns to blackmail, revenge and murder.
"
New Folder 2,44.0,Drama,2015,Yoon Sul-hee,"
Ho-jae has the building, the house, the fancy car that his parents left to him to manage as they live abroad for business. Ho-Jae was born with a silver spoon in his mouth. Ho-jae who pretends to be a dutiful son in front of his parents. He enjoys casual sex with women. For Ho-jae who had been living a life all his friends were envious of, there is a sudden wrench in the works. Did he play his con too well? His mother asks his aunt to introduce him to some nice girls. A sexy aunt and a devious nephew... their dangerous cohabitation starts!
"
